,InvoiceNo,StockCode,name,parent_category,Quantity,InvoiceDate,price,CustomerID
0,672149,981,FRAU MARTA QIRMIZI LOBYA 310G,BAQQALİYƏ,4,03/09/2022 12:07,2.29,5496
1,527612,3056,HUGGIES MEGA USAQ BEZİ QIZ ÜÇÜN N3 80ED,KÖRPƏ VƏ UŞAQLAR,5,05/01/2022 23:37,41.79,1299
2,825331,1021,AZERSUD SUD 2 2% 1L,SÜD MƏHSULLARI VƏ YUMURTALAR,5,06/26/2022 03:06,2.59,2857
3,282843,3051,KENT NANO 4 SIQARET,SİQARETLƏR,4,05/06/2022 17:57,3.9,1315
4,159400,2627,WANT LINE X COMPACT BLUEBERRY-MINT KAPSUL SIQARET,SİQARETLƏR,1,05/11/2022 02:22,2.6,9755
5,413848,3604,PEPSI BLACK 2 LT,ALKOQOLSUZ İÇKİLƏR,4,09/28/2022 21:13,2.0,8122
6,222583,3748,DELIFRANCE AG BAGET,UN VƏ QƏNNADI MƏHSULLARI,1,12/14/2022 22:56,2.19,8603
7,262710,656,ABAD ALMA QURUSU 300 QR,ŞİRNİYYAT,4,03/08/2022 03:58,5.2,8358
8,475729,1577,ZEWA TUALTE KAĞIZI 4 QATLI 4 RULON,EV TƏMİZLİYİ VƏ AKSESUARLARI,3,08/31/2022 14:00,2.65,1467
9,836010,1191,ROSHEN CRAZY BEE KQ,ŞİRNİYYAT,3,11/11/2022 07:41,5.89,4195
10,707298,3506,SAMSUNG A32 4GB/128GB BLUE,MƏİŞƏT TEXNİKASI,4,04/21/2022 00:27,599.0,1306
11,407167,139,SLOBODA PROV MAYONEZ ZEYTU PAKET67%800ML,SÜD MƏHSULLARI VƏ YUMURTALAR,1,05/04/2022 23:42,5.15,9972
12,846957,3375,BADIMCAN KQ,MEYVƏ VƏ TƏRƏVƏZ,2,11/09/2022 20:39,4.19,5815
13,664151,1555,YORK DÖŞƏMƏ SİLGİSİ EHTİYYATI KLASSİK,EV TƏMİZLİYİ VƏ AKSESUARLARI,3,07/12/2022 20:21,4.99,4228
14,381736,1215,SAVILLE MAKARON FİYONK 500Q,BAQQALİYƏ,1,01/25/2023 17:05,1.59,6770
15,327237,2380,KOTEX TAMPON SUPER 16 ƏDƏD,ŞƏXSİ BAXIM,1,10/31/2022 20:39,8.99,1351
16,857979,2659,SOBRANIE KSS BLACK SIQARET,SİQARETLƏR,5,06/26/2022 20:37,4.2,1266
17,827211,1577,ZEWA TUALTE KAĞIZI 4 QATLI 4 RULON,EV TƏMİZLİYİ VƏ AKSESUARLARI,3,07/18/2022 19:38,2.65,3510
18,413369,1802,LIPTON LIMON ƏTİRLİ SOYUQ ÇAY  1 LT,"ÇAY, QƏHVƏ VƏ SƏRİNLƏŞDİRİCİ İÇKİLƏR",4,10/12/2022 04:52,1.8,7087
